,Neighbourhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Bodrum Restaurant,51.56985303377585,-0.02615049093436264,Fast Food Restaurant
1,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Aldi,51.56907280891254,-0.030362178146747305,Grocery Store / Supermarket
2,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Hare & Hounds,51.568816,-0.0287818,Bar
3,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Leyton Jubilee Park,51.56465449246232,-0.02536541662702063,Park
4,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Saffron Kitchen,51.5682547358795,-0.029048448049960558,Indian Restaurant
5,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Roma Cafe,51.57054069715038,-0.02833890781794626,Café
6,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Anji’s Pharmacy,51.57057,-0.024703,Drugstore
7,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Lighthaus Cafe,51.570172,-0.038948,Coffee Shop
8,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Paga Cafe,51.56769398495724,-0.03270149230957031,Café
9,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Lee Valley Riding Centre,51.56642297917485,-0.042015661003302486,Farm
10,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Walthamstow Pumphouse Museum,51.57670988973088,-0.0344909075689832,History Museum
11,Barking and Dagenham,51.56908504272302,-0.026984950540111186,WaterWorks Nature Reserve,51.56347902423256,-0.03705739974975585,Nature Preserve
12,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Marsh Lane Fields,51.56457241292768,-0.026082746754667235,Park
13,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Kukoolala,51.56467515124608,-0.024021395844072674,Café
14,Barking and Dagenham,51.56908504272302,-0.026984950540111186,St James's Park,51.57701619673675,-0.03748655319213867,Playground
15,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Wanis,51.56561295095797,-0.03246163546275505,Warehouse / Wholesale Store
16,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Co-op Food - Petrol Walthamstow,51.575895290590914,-0.03001890367012594,Grocery Store / Supermarket
17,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Middlesex Filter Bed Nature Reserve,51.56085877749002,-0.04136705485873433,Nature Preserve
18,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Hucks,51.579108468896,-0.01258332542545876,Coffee Shop
19,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Etles Uyghur Restaurant,51.581768,-0.018297,Chinese Restaurant
20,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Walthamstow Nature Reserve Bird Hides,51.564806512196064,-0.03600861998261678,Nature Preserve
21,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Cafe Deja Vu,51.58225706007454,-0.030623470453898797,Café
22,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Chequers,51.58335534383981,-0.02665196958597967,Beer Bar
23,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Chaiiwala,51.58212,-0.018401,Coffee Shop
24,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Queens Arms,51.5823804606031,-0.01362078165676299,Pub
25,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Froth & Rind,51.5827096088502,-0.012193029608870854,Café
26,Barking and Dagenham,51.56908504272302,-0.026984950540111186,International Supermarket,51.58162890438839,-0.033392101805113775,Grocery Store / Supermarket
27,Barking and Dagenham,51.56908504272302,-0.026984950540111186,L Manze,51.58246206392046,-0.02976902123117191,Pie Shop
28,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Eat 17,51.582511163200465,-0.01303445646217313,Restaurant
29,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Gokyüzü,51.583603,-0.022283,Turkish Restaurant
30,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Kitchen,51.582638,-0.01217857,Restaurant
31,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Collab,51.585384,-0.019798726,Bar
32,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Spar,51.582549984881716,-0.012943380750847907,Convenience Store
33,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Today Bread,51.585191,-0.01938,Bakery
34,Barking and Dagenham,51.56908504272302,-0.026984950540111186,The Princess of Wales,51.56198089451742,-0.04571701324856224,Pub
35,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Sodo Pizza Cafe - Walthamstow,51.58619691543372,-0.020490926500218,Pizzeria
36,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Empire Cinemas Walthamstow,51.58488125900046,-0.019988322328531483,Movie Theater
37,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Orford Saloon Tapas Bar,51.58246457993882,-0.013099563354307921,Tapas Restaurant
38,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Incoming Coffee,51.58270320745833,-0.019075528763506423,Coffee Shop
39,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Bonners Fish Bar,51.584296,-0.034376,Fish and Chips Shop
40,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Pret a Manger,51.583617999694056,-0.022393169311532013,Fast Food Restaurant
41,Barking and Dagenham,51.56908504272302,-0.026984950540111186,South Millfields Park,51.557518017729485,-0.04600648494535357,Park
42,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Nando's,51.58497759,-0.02043569,Restaurant
43,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Costa Coffee,51.581237,-0.033486,"Cafes, Coffee, and Tea Houses"
44,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Lee Valley Ice Centre,51.56339632677106,-0.0445873003137367,Skating Rink
45,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Sainsbury's,51.582575750252545,-0.02718100276127622,Grocery Store / Supermarket
46,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Walthamstow Farmers' Market,51.5843939254411,-0.021783030745100226,Farmers' Market
47,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Mirth Marvel & Maude,51.586077179825516,-0.019927029397211193,Music Venue
48,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Tesco Express,51.580349816479995,-0.03253750045587367,Grocery Store / Supermarket
49,Barking and Dagenham,51.56908504272302,-0.026984950540111186,Trattoria La Ruga,51.5824,-0.013044924,Italian Restaurant
50,Barnet,51.527035074878356,-0.06680412851578255,Woolidando,51.526377,-0.066518,Café
51,Barnet,51.527035074878356,-0.06680412851578255,The Kings Arms,51.525753907299006,-0.06586763497321266,Pub
52,Barnet,51.527035074878356,-0.06680412851578255,Sam's Cafe,51.526424286164136,-0.06505559002735123,Bar
53,Barnet,51.527035074878356,-0.06680412851578255,Issho-Ni,51.526104,-0.06792024,Japanese Restaurant
54,Barnet,51.527035074878356,-0.06680412851578255,E Pellicci,51.526516,-0.063426,Café
55,Barnet,51.527035074878356,-0.06680412851578255,Tas Firin Restaurant,51.52545849746562,-0.0702727253628311,Turkish Restaurant
56,Barnet,51.527035074878356,-0.06680412851578255,Brawn,51.528912924034444,-0.0703129817333181,French Restaurant
57,Barnet,51.527035074878356,-0.06680412851578255,Columbia Road Flower Market,51.529358148183654,-0.0695657730102539,Flower Store
58,Barnet,51.527035074878356,-0.06680412851578255,Cafe 338,51.526582360920315,-0.06325761890890141,Café
59,Barnet,51.527035074878356,-0.06680412851578255,Nelly Duff,51.52971434419299,-0.06883672986448341,Art Gallery
60,Barnet,51.527035074878356,-0.06680412851578255,Carpenter's Arms,51.523927250026055,-0.06744134965788824,Pub
61,Barnet,51.527035074878356,-0.06680412851578255,Choosing Keeping,51.52924199287803,-0.06966676854853995,Office Supply Store
62,Barnet,51.527035074878356,-0.06680412851578255,The Royal Oak,51.52955364862908,-0.0693086192292293,Pub
63,Barnet,51.527035074878356,-0.06680412851578255,Pavilion Bakery,51.52926176852781,-0.06958545795762676,Bakery
64,Barnet,51.527035074878356,-0.06680412851578255,Campania Gastronomia,51.529850795667194,-0.06868630681944737,Italian Restaurant
65,Barnet,51.527035074878356,-0.06680412851578255,Beyond Retro,51.5238908726084,-0.06708352562857023,Clothing Store
66,Barnet,51.527035074878356,-0.06680412851578255,The-Common,51.52937038873192,-0.06100062763170199,Coffee Shop
67,Barnet,51.527035074878356,-0.06680412851578255,The Old George,51.52701,-0.06083,Bar
68,Barnet,51.527035074878356,-0.06680412851578255,A Portuguese Love Affair Deli Cafe,51.53118942104948,-0.06655479147809011,Coffee Shop
69,Barnet,51.527035074878356,-0.06680412851578255,The Marksman,51.530863,-0.069572,Pub
70,Barnet,51.527035074878356,-0.06680412851578255,Lanark Coffee,51.53098583050659,-0.06912261191632774,Coffee Shop
71,Barnet,51.527035074878356,-0.06680412851578255,Nomadic Community Garden,51.52301001853479,-0.06955355693281441,Garden
72,Barnet,51.527035074878356,-0.06680412851578255,Spitalfields City Farm,51.522337042474255,-0.06732425288050245,Farm
73,Barnet,51.527035074878356,-0.06680412851578255,Breid,51.52375,-0.063626,Bakery
74,Barnet,51.527035074878356,-0.06680412851578255,The Laughing Heart,51.53117337766498,-0.06800187952458082,Wine Bar
75,Barnet,51.527035074878356,-0.06680412851578255,Weavers Fields,51.525333214048985,-0.0619053840637207,Park
76,Barnet,51.527035074878356,-0.06680412851578255,Hackney City Farm,51.531767643268644,-0.06642097695624682,Restaurant
77,Barnet,51.527035074878356,-0.06680412851578255,Rocket Barber Shop,51.53171238685527,-0.06252810377200549,Barbershop
78,Barnet,51.527035074878356,-0.06680412851578255,Frizzante,51.5316948795553,-0.06639513778714735,Italian Restaurant
79,Barnet,51.527035074878356,-0.06680412851578255,The Sun Inn,51.527251866790415,-0.05831422002258571,Wine Bar
80,Barnet,51.527035074878356,-0.06680412851578255,Dom’s Subs,51.531267,-0.069079,Sandwich Restaurant
81,Barnet,51.527035074878356,-0.06680412851578255,Coupette,51.52713295692342,-0.0590603970546924,Cocktail Bar
82,Barnet,51.527035074878356,-0.06680412851578255,Bethnal Green Tavern,51.526996,-0.05848,Pub
83,Barnet,51.527035074878356,-0.06680412851578255,Sebright Arms,51.53205819640725,-0.06315206917157185,Pub
84,Barnet,51.527035074878356,-0.06680412851578255,Second Shot Coffee,51.52741157015986,-0.056625380024357616,Coffee Shop
85,Barnet,51.527035074878356,-0.06680412851578255,Rinkoffs Bakery,51.52217883601613,-0.06408304820500785,Bakery
86,Barnet,51.527035074878356,-0.06680412851578255,Old Street Brewery & Taproom,51.52694979790773,-0.056425817912283925,Brewery
87,Barnet,51.527035074878356,-0.06680412851578255,Mother Kelly's Bottle Shop & Tap Room,51.52841340778298,-0.05584270159248104,Beer Bar
88,Barnet,51.527035074878356,-0.06680412851578255,The Virgin Queen,51.53368033383224,-0.06443460975121965,Pub
89,Barnet,51.527035074878356,-0.06680412851578255,Sodo Pizza - Bethnal Green,51.52973124754724,-0.05669266039684634,Pizzeria
90,Barnet,51.527035074878356,-0.06680412851578255,Renegade London Wine,51.527004720063,-0.05638127099145621,Wine Bar
91,Barnet,51.527035074878356,-0.06680412851578255,La Forchetta,51.52717591796396,-0.05782888961874468,Italian Restaurant
92,Barnet,51.527035074878356,-0.06680412851578255,Haggerston Park,51.533749793069674,-0.06829977035522461,Park
93,Barnet,51.527035074878356,-0.06680412851578255,Ozone Coffee Roasters,51.53251,-0.061191,Coffee Shop
94,Barnet,51.527035074878356,-0.06680412851578255,Satan's Whiskers,51.52958839622787,-0.05599732597767542,Cocktail Bar
95,Barnet,51.527035074878356,-0.06680412851578255,The Beehive,51.528416,-0.055739656,Coffee Shop
96,Barnet,51.527035074878356,-0.06680412851578255,Carmel by the Green,51.526906100086755,-0.05559005290059095,Coffee Shop
97,Barnet,51.527035074878356,-0.06680412851578255,Italina,51.53029848315733,-0.056227878816925786,Italian Restaurant
98,Barnet,51.527035074878356,-0.06680412851578255,Hackney Coffee Company,51.53240155176233,-0.05835390454781894,Coffee Shop
99,Barnet,51.527035074878356,-0.06680412851578255,The Queen Adelaide,51.532344104583515,-0.05895435610349358,Gay Bar
100,Bexley,51.45102690534061,0.0791827299516828,M and S Simply Food,51.4511333,0.08026436,Grocery Store / Supermarket
